,GHI,GHI,GHI,GHI,GHI,GHI,DNI,DNI,DNI,DNI,DNI,DNI,DHI,DHI,DHI,DHI,DHI,DHI,RH,RH,RH,RH,RH,RH,WS,WS,WS,WS,WS,WS
,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count
country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benin,230.0071,242.71379,51.354218,0.0,315.64935,369,161.87105,170.59659,85.34218,0.0,345.01077,369,110.335304,111.804634,32.358086,0.0,192.0789,369,54.73649,54.26388,23.945301,12.335725,98.3,369,2.042037,1.9292016,0.6809723,0.84674,4.0394835,369
sierra_leone,179.3638,183.25404,46.10995,28.023346,302.51202,364,98.22754,97.725914,57.59146,0.25945166,251.25603,364,107.76425,111.55585,26.559772,16.320356,185.31372,364,80.54721,85.75135,12.651225,48.93817,98.41313,364,1.0591671,1.0056154,0.3703501,0.27330825,2.1806614,364
togo,219.22313,230.0646,50.978966,6.690323,359.12076,364,143.75377,147.47565,80.346886,0.25364432,300.168,364,110.62077,113.71064,30.633608,5.0391707,189.33081,364,55.494602,61.425766,26.60186,9.57796,95.13316,364,2.2918806,2.2582726,0.6698837,0.6576037,4.282583,364
